"Work item ID","Work type","Summary","Epic Name","Parent","Description","Original Estimate","Sprint","Due Date","Labels","Labels","Labels","Labels"
"14","Task","T010 | Publish durable due-cycle events","","1","Task T010. Owner: Hiếu (WF1); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-08; estimate 2d. Work: Publish durable due-cycle events in `backend/src/main/java/com/smartdroneinspection/assets/events/InspectionScheduleDue.java` and `assets/service/InspectionScheduleDuePublisher.java`. Acceptance: one event identity per asset/schedule/cycle; retry is idempotent. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W4 — WF1 & WF2 Core","2026-10-08","wf1","plan-2026-09-22","owner-hieu","backend"
"15","Task","T011 | Build schedule and Admin catalog web screens","","1","Task T011. Owner: Hiếu (WF1); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-16; estimate 2d. Work: Build schedule and Admin catalog web screens in `frontend/src/features/assets/pages/InspectionSchedulesPage.tsx` and `frontend/src/features/assets/pages/AssetCatalogPage.tsx`. Acceptance: authorized users can create/pause a schedule and Admin can manage active catalog. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W5 — WF3 & WF4 Core","2026-10-16","wf1","plan-2026-09-22","owner-hieu","frontend"
"16","Task","T012 | Verify WF1→WF2 periodic handoff","","1","Task T012. Owner: Hiếu (WF1); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-09; estimate 1d. Work: Verify WF1→WF2 periodic handoff in `backend/src/test/java/com/smartdroneinspection/assets/PeriodicRequestHandoffTest.java`. Acceptance: replay creates one `PERIODIC` request and unavailable checklist produces manual review. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W4 — WF1 & WF2 Core","2026-10-09","wf1","plan-2026-09-22","owner-hieu","backend"
"17","Task","T013 | Complete WF1 security/regression run","","1","Task T013. Owner: Hiếu (WF1); internal W4; Jira sprint: W6 — Integration & Demo; due: 2026-10-20; estimate 2d. Work: Complete WF1 security/regression run and update `backend/src/test/java/com/smartdroneinspection/assets/AssetWorkflowIntegrationTest.java` plus `docs/content/backend/flows/assets-and-scheduling.md`. Acceptance: own-org paths and negative scope pass; API and scheduler behavior documented. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W6 — Integration & Demo","2026-10-20","wf1","plan-2026-09-22","owner-hieu","backend"
"18","Task","T014 | Implement ad hoc request creation and idempotent periodic-event consumption","","2","Task T014. Owner: Quốc (WF2); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-09-30; estimate 2d. Work: Implement ad hoc request creation and idempotent periodic-event consumption in `backend/src/main/java/com/smartdroneinspection/inspectionrequests/service/InspectionRequestService.java`. Acceptance: Client organization is derived from principal; due-cycle replay creates no duplicate. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W3 — Foundation & DB","2026-09-30","wf2","plan-2026-09-22","owner-quoc","backend"
"19","Task","T015 | Build Client request list/create/detail","","2","Task T015. Owner: Quốc (WF2); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-13; estimate 2d. Work: Build Client request list/create/detail in `frontend/src/features/inspectionrequests/pages/InspectionRequestsPage.tsx`. Acceptance: Client submits scope, deadline, access and contact data for own asset with field errors shown. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W5 — WF3 & WF4 Core","2026-10-13","wf2","plan-2026-09-22","owner-quoc","frontend"
"20","Task","T016 | Implement manager review and immutable quotation revisions","","2","Task T016. Owner: Quốc (WF2); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-10-02; estimate 2d. Work: Implement manager review and immutable quotation revisions in `backend/src/main/java/com/smartdroneinspection/inspectionrequests/service/InspectionQuotationService.java`. Acceptance: only current version receives a Client decision and earlier versions remain readable. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W3 — Foundation & DB","2026-10-02","wf2","plan-2026-09-22","owner-quoc","backend"
"21","Task","T017 | Implement Client approval and confirmed order transition","","2","Task T017. Owner: Quốc (WF2); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-06; estimate 2d. Work: Implement Client approval and confirmed order transition in `backend/src/main/java/com/smartdroneinspection/inspectionrequests/service/InspectionOrderService.java`. Acceptance: approval records post-service terms; no payment gate; unapproved order cannot be assigned. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W4 — WF1 & WF2 Core","2026-10-06","wf2","plan-2026-09-22","owner-quoc","backend"
"22","Task","T018 | Implement Inspector assignment, rejection reason, and reassignment","","2","Task T018. Owner: Quốc (WF2); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-08; estimate 2d. Work: Implement Inspector assignment, rejection reason, and reassignment in `backend/src/main/java/com/smartdroneinspection/inspectionrequests/service/InspectionAssignmentService.java`. Acceptance: only assigned active Inspector can respond; acceptance emits G3 handoff. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W4 — WF1 & WF2 Core","2026-10-08","wf2","plan-2026-09-22","owner-quoc","backend"
"23","Task","T019 | Build Service Manager review/quote/assignment and Client approval pages","","2","Task T019. Owner: Quốc (WF2); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-15; estimate 2d. Work: Build Service Manager review/quote/assignment and Client approval pages in `frontend/src/features/inspectionrequests/pages/InspectionOrderPage.tsx`. Acceptance: current version, revision history, decision and assignment state are visible. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W5 — WF3 & WF4 Core","2026-10-15","wf2","plan-2026-09-22","owner-quoc","frontend"
"24","Task","T020 | Add Inspector mobile assignment inbox and accept/reject response","","2","Task T020. Owner: Quốc (WF2); internal W4; Jira sprint: W6 — Integration & Demo; due: 2026-10-19; estimate 1d. Work: Add Inspector mobile assignment inbox and accept/reject response in `mobile/lib/features/inspections/presentation/assignments_page.dart`. Acceptance: only assigned items appear; rejection requires a reason; API errors are visible. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W6 — Integration & Demo","2026-10-19","wf2","plan-2026-09-22","owner-quoc","mobile"
"25","Task","T021 | Test WF1 due request and WF2→WF3 accepted-assignment handoffs","","2","Task T021. Owner: Quốc (WF2); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-16; estimate 1d. Work: Test WF1 due request and WF2→WF3 accepted-assignment handoffs in `backend/src/test/java/com/smartdroneinspection/inspectionrequests/InspectionRequestHandoffTest.java`. Acceptance: real events preserve organization, asset, order and assignee IDs. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W5 — WF3 & WF4 Core","2026-10-16","wf2","plan-2026-09-22","owner-quoc","backend"
"26","Task","T022 | Complete revision/rejection/security regression","","2","Task T022. Owner: Quốc (WF2); internal W4; Jira sprint: W6 — Integration & Demo; due: 2026-10-21; estimate 2d. Work: Complete revision/rejection/security regression and update `backend/src/test/java/com/smartdroneinspection/inspectionrequests/InspectionRequestWorkflowTest.java` plus `docs/content/backend/flows/inspection-requests.md`. Acceptance: cross-org, inactive user, unconfirmed order, and stale quotation decisions are denied. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W6 — Integration & Demo","2026-10-21","wf2","plan-2026-09-22","owner-quoc","backend"
"27","Task","T023 | Implement assignment-scoped inspection start and checklist responses","","3","Task T023. Owner: Bách (WF3); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-09-30; estimate 2d. Work: Implement assignment-scoped inspection start and checklist responses in `backend/src/main/java/com/smartdroneinspection/inspections/service/InspectionService.java`. Acceptance: only accepted assignee can start/update, and required checklist answers are enforced. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W3 — Foundation & DB","2026-09-30","wf3","plan-2026-09-22","owner-bach","backend"
"28","Task","T024 | Connect mobile assigned inspection list/start","","3","Task T024. Owner: Bách (WF3); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-10-01; estimate 1d. Work: Connect mobile assigned inspection list/start in `mobile/lib/features/inspections/presentation/inspections_page.dart`. Acceptance: Inspector sees only assigned inspections and an authorized start action. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W3 — Foundation & DB","2026-10-01","wf3","plan-2026-09-22","owner-bach","mobile"
"29","Task","T025 | Implement evidence validation, checksum, retry-safe metadata, and MinIO storage","","3","Task T025. Owner: Bách (WF3); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-06; estimate 2d. Work: Implement evidence validation, checksum, retry-safe metadata, and MinIO storage in `backend/src/main/java/com/smartdroneinspection/inspections/service/EvidenceService.java`. Acceptance: corrupt/unsupported files fail; retry cannot duplicate an inspection evidence record. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W4 — WF1 & WF2 Core","2026-10-06","wf3","plan-2026-09-22","owner-bach","backend"
"30","Task","T026 | Add configured AI candidate ingestion with safe failure behavior","","3","Task T026. Owner: Bách (WF3); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-07; estimate 1d. Work: Add configured AI candidate ingestion with safe failure behavior in `backend/src/main/java/com/smartdroneinspection/inspections/service/FindingCandidateService.java` and `backend/src/main/java/com/smartdroneinspection/infrastructure/ai/`. Acceptance: candidate retains model/confidence/box; AI outage leaves evidence usable. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W4 — WF1 & WF2 Core","2026-10-07","wf3","plan-2026-09-22","owner-bach","backend"
"31","Task","T027 | Implement confirm/modify/reject/manual finding commands","","3","Task T027. Owner: Bách (WF3); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-08; estimate 1d. Work: Implement confirm/modify/reject/manual finding commands in `backend/src/main/java/com/smartdroneinspection/inspections/service/VerifiedFindingService.java`. Acceptance: rejected/unreviewed candidates never enter official findings. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W4 — WF1 & WF2 Core","2026-10-08","wf3","plan-2026-09-22","owner-bach","backend"
"32","Task","T028 | Build report draft and immutable version snapshots","","3","Task T028. Owner: Bách (WF3); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-13; estimate 2d. Work: Build report draft and immutable version snapshots in `backend/src/main/java/com/smartdroneinspection/inspections/service/InspectionReportService.java`. Acceptance: revision creates a new version; accepted version cannot be overwritten. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W5 — WF3 & WF4 Core","2026-10-13","wf3","plan-2026-09-22","owner-bach","backend"
"33","Task","T029 | Enforce distinct author and peer reviewer","","3","Task T029. Owner: Bách (WF3); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-14; estimate 1d. Work: Enforce distinct author and peer reviewer in `backend/src/main/java/com/smartdroneinspection/inspections/service/ReportReviewService.java`. Acceptance: self-review denied and change request/technical approval recorded. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W5 — WF3 & WF4 Core","2026-10-14","wf3","plan-2026-09-22","owner-bach","backend"
"34","Task","T030 | Implement manager release and Client acceptance/revision actions","","3","Task T030. Owner: Bách (WF3); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-15; estimate 1d. Work: Implement manager release and Client acceptance/revision actions in `backend/src/main/java/com/smartdroneinspection/inspections/service/ReportReleaseService.java`. Acceptance: Client sees only released version and acceptance emits billing/WF4 read handoff. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W5 — WF3 & WF4 Core","2026-10-15","wf3","plan-2026-09-22","owner-bach","backend"
"35","Task","T031 | Connect web inspection and report screens","","3","Task T031. Owner: Bách (WF3); internal W4; Jira sprint: W6 — Integration & Demo; due: 2026-10-20; estimate 2d. Work: Connect web inspection and report screens in `frontend/src/features/inspections/pages/InspectionsPage.tsx` and `frontend/src/features/reports/pages/ReportsPage.tsx`. Acceptance: authorized Inspector, reviewer, Manager and Client each see valid actions and states. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W6 — Integration & Demo","2026-10-20","wf3","plan-2026-09-22","owner-bach","frontend"
"36","Task","T032 | Add focused mobile checklist and photo capture","","3","Task T032. Owner: Bách (WF3); internal W4; Jira sprint: W6 — Integration & Demo; due: 2026-10-21; estimate 1d. Work: Add focused mobile checklist and photo capture in `mobile/lib/features/inspections/presentation/inspection_detail_page.dart`. Acceptance: assigned Inspector can submit a checklist response and photo with failure/retry feedback. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W6 — Integration & Demo","2026-10-21","wf3","plan-2026-09-22","owner-bach","mobile"
"37","Task","T033 | Run report/authorization regression","","3","Task T033. Owner: Bách (WF3); internal W4; Jira sprint: W6 — Integration & Demo; due: 2026-10-23; estimate 2d. Work: Run report/authorization regression and update `backend/src/test/java/com/smartdroneinspection/inspections/InspectionWorkflowTest.java` plus `docs/content/backend/flows/inspections-and-reports.md`. Acceptance: G3/G4 real handoff, self-review denial, hidden drafts, manual fallback and immutable acceptance pass. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W6 — Integration & Demo","2026-10-23","wf3","plan-2026-09-22","owner-bach","backend"
"38","Task","T034 | Implement ticket creation from accepted-report findings","","4","Task T034. Owner: Như (WF4); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-09-30; estimate 2d. Work: Implement ticket creation from accepted-report findings in `backend/src/main/java/com/smartdroneinspection/maintenance/service/MaintenanceTicketService.java`. Acceptance: at least one own-org verified finding is required; duplicate active ticket links are denied. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W3 — Foundation & DB","2026-09-30","wf4","plan-2026-09-22","owner-nhu","backend"
"39","Task","T035 | Build Client ticket create/detail","","4","Task T035. Owner: Như (WF4); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-10-01; estimate 1d. Work: Build Client ticket create/detail in `frontend/src/features/maintenance/pages/MaintenancePage.tsx`. Acceptance: Client selects accepted findings, sees source report and receives clear validation errors. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W3 — Foundation & DB","2026-10-01","wf4","plan-2026-09-22","owner-nhu","frontend"
"40","Task","T036 | Implement assessment assignment and Engineer estimate","","4","Task T036. Owner: Như (WF4); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-06; estimate 2d. Work: Implement assessment assignment and Engineer estimate in `backend/src/main/java/com/smartdroneinspection/maintenance/service/MaintenanceAssessmentService.java`. Acceptance: accepted assessment assignment is required; cost range and technical scope are validated. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W4 — WF1 & WF2 Core","2026-10-06","wf4","plan-2026-09-22","owner-nhu","backend"
"41","Task","T037 | Add Engineer mobile assessment inbox/submit","","4","Task T037. Owner: Như (WF4); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-07; estimate 1d. Work: Add Engineer mobile assessment inbox/submit in `mobile/lib/features/tasks/presentation/assessment_page.dart`. Acceptance: assigned Engineer records scope, materials, labor, risk and estimate. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W4 — WF1 & WF2 Core","2026-10-07","wf4","plan-2026-09-22","owner-nhu","mobile"
"42","Task","T038 | Implement versioned maintenance quote, Client approval, order, and execution assignment","","4","Task T038. Owner: Như (WF4); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-09; estimate 2d. Work: Implement versioned maintenance quote, Client approval, order, and execution assignment in `backend/src/main/java/com/smartdroneinspection/maintenance/service/MaintenanceOrderService.java`. Acceptance: approved order is required before execution; previous quote/order versions persist. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W4 — WF1 & WF2 Core","2026-10-09","wf4","plan-2026-09-22","owner-nhu","backend"
"43","Task","T039 | Implement assigned work logs and required before/after evidence","","4","Task T039. Owner: Như (WF4); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-13; estimate 2d. Work: Implement assigned work logs and required before/after evidence in `backend/src/main/java/com/smartdroneinspection/maintenance/service/MaintenanceWorkService.java`. Acceptance: unrelated Engineer denied; work cannot complete without both evidence kinds. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W5 — WF3 & WF4 Core","2026-10-13","wf4","plan-2026-09-22","owner-nhu","backend"
"44","Task","T040 | Implement material change request and approved new order version","","4","Task T040. Owner: Như (WF4); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-15; estimate 2d. Work: Implement material change request and approved new order version in `backend/src/main/java/com/smartdroneinspection/maintenance/service/MaintenanceChangeService.java`. Acceptance: extra work waits for Client approval and rejected changes leave current order intact. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W5 — WF3 & WF4 Core","2026-10-15","wf4","plan-2026-09-22","owner-nhu","backend"
"45","Task","T041 | Implement manager release and Client accept/rework/re-inspection","","4","Task T041. Owner: Như (WF4); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-16; estimate 1d. Work: Implement manager release and Client accept/rework/re-inspection in `backend/src/main/java/com/smartdroneinspection/maintenance/service/MaintenanceResolutionService.java`. Acceptance: only released result is decidable; re-inspection emits one linked WF2 request. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W5 — WF3 & WF4 Core","2026-10-16","wf4","plan-2026-09-22","owner-nhu","backend"
"46","Task","T042 | Connect Manager/Client maintenance quote, approval and resolution views","","4","Task T042. Owner: Như (WF4); internal W4; Jira sprint: W6 — Integration & Demo; due: 2026-10-19; estimate 1d. Work: Connect Manager/Client maintenance quote, approval and resolution views in `frontend/src/features/maintenance/pages/MaintenanceOrderPage.tsx`. Acceptance: user sees approved scope, changed versions, evidence and available decision. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W6 — Integration & Demo","2026-10-19","wf4","plan-2026-09-22","owner-nhu","frontend"
"47","Task","T043 | Build Engineer mobile execution/progress/photo UI against the agreed DTO and an assigned-task fixture","","4","Task T043. Owner: Như (WF4); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-10-02; estimate 1d. Work: Build Engineer mobile execution/progress/photo UI against the agreed DTO and an assigned-task fixture in `mobile/lib/features/tasks/presentation/task_detail_page.dart`. Acceptance: progress and before/after inputs render for the assigned Engineer; T045 connects and verifies live API authorization. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W3 — Foundation & DB","2026-10-02","wf4","plan-2026-09-22","owner-nhu","mobile"
"48","Task","T044 | Add both post-service invoice sources with a forward migration","","4","Task T044. Owner: Như (WF4); internal W4; Jira sprint: W6 — Integration & Demo; due: 2026-10-21; estimate 2d. Work: Add both post-service invoice sources with a forward migration in `backend/src/main/resources/db/migration/V10__cross_flow_invoices.sql` and `backend/src/main/java/com/smartdroneinspection/billing/`. Acceptance: one invoice per accepted inspection report or maintenance order; manual payment status; old rows preserved. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W6 — Integration & Demo","2026-10-21","wf4","plan-2026-09-22","owner-nhu","backend"
"49","Task","T045 | Connect the live mobile execution API, run ticket/billing/authorization regression,","","4","Task T045. Owner: Như (WF4); internal W4; Jira sprint: W6 — Integration & Demo; due: 2026-10-23; estimate 2d. Work: Connect the live mobile execution API, run ticket/billing/authorization regression, and update `mobile/lib/features/tasks/presentation/task_detail_page.dart`, `backend/src/test/java/com/smartdroneinspection/maintenance/MaintenanceWorkflowTest.java`, and `docs/content/backend/flows/maintenance-and-billing.md`. Acceptance: G4/G5 real handoff, mobile assignment denial, change approval, evidence, closure, invoice and cross-org denial pass. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W6 — Integration & Demo","2026-10-23","wf4","plan-2026-09-22","owner-nhu","mobile"
